H,13.598443
He,24.587387
Li,5.391719
Be,9.3227
B,8.29802
C,11.2603
N,14.5341
O,13.61805
F,17.4228
Ne,21.56454
Na,5.139076
Mg,7.646235000000001
Al,5.985768
Si,8.15168
P,10.48669
S,10.36001
Cl,12.96763
Ar,15.75961
K,4.340663
Ca,6.11316
Sc,6.561489999999999
Ti,6.828119999999999
V,6.7461899999999995
Cr,6.76651
Mn,7.434019999999999
Fe,7.9024
Co,7.881010000000001
Ni,7.6398
Cu,7.726380000000001
Zn,9.394199
Ga,5.999301
Ge,7.899430000000001
As,9.7886
Se,9.75239
Br,11.8138
Kr,13.99961
Rb,4.177128
Sr,5.69485
Y,6.2173
Zr,6.6339
Nb,6.75885
Mo,7.09243
Tc,7.28
Ru,7.3605
Rh,7.4589
Pd,8.3369
Ag,7.576230000000001
Cd,8.99382
In,5.78636
Sn,7.34392
Sb,8.60839
Te,9.0096
I,10.451260000000001
Xe,12.12984
Cs,3.893905
Ba,5.211664
La,5.5769
Ce,5.5387
Pr,5.473
Nd,5.525
Pm,5.582
Sm,5.6437
Eu,5.670380000000001
Gd,6.1498
Tb,5.8638
Dy,5.9389
Ho,6.0215
Er,6.1077
Tm,6.18431
Yb,6.25416
Lu,5.42586
Hf,6.825069999999999
Ta,7.54957
W,7.8640300000000005
Re,7.83352
Os,8.43823
Ir,8.96702
Pt,8.9588
Au,9.225530000000001
Hg,10.4375
Tl,6.108194
Pb,7.4166300000000005
Bi,7.2855
Po,8.414
At,9.2
Rn,10.7485
Fr,4.072741000000001
Ra,5.278423
Ac,5.17
Th,6.3067
Pa,5.89
U,6.1941
Np,6.2657
Pu,6.026
Am,5.9738
Cm,5.9914
Bk,6.1979
Cf,6.2817
Es,6.42
Fm,6.5
Md,6.58
No,6.65
