H,31.0
He,28.0
Li,128.0
Be,96.0
B,84.0
C,76.0
N,71.0
O,66.0
F,57.0
Ne,58.0
Na,166.0
Mg,141.0
Al,121.0
Si,111.0
P,107.0
S,105.0
Cl,102.0
Ar,106.0
K,203.0
Ca,176.0
Sc,170.0
Ti,160.0
V,153.0
Cr,139.0
Mn,139.0
Fe,132.0
Co,126.0
Ni,124.0
Cu,132.0
Zn,122.0
Ga,122.0
Ge,120.0
As,119.0
Se,120.0
Br,120.0
Kr,116.0
Rb,220.0
Sr,195.0
Y,190.0
Zr,175.0
Nb,164.0
Mo,154.0
Tc,147.0
Ru,146.0
Rh,142.0
Pd,139.0
Ag,145.0
Cd,144.0
In,142.0
Sn,139.0
Sb,139.0
Te,138.0
I,139.0
Xe,140.0
Cs,244.0
Ba,215.0
La,207.0
Ce,204.0
Pr,203.0
Nd,201.0
Pm,199.0
Sm,198.0
Eu,198.0
Gd,196.0
Tb,194.0
Dy,192.0
Ho,192.0
Er,189.0
Tm,190.0
Yb,187.0
Lu,187.0
Hf,175.0
Ta,170.0
W,162.0
Re,151.0
Os,144.0
Ir,141.0
Pt,136.0
Au,136.0
Hg,132.0
Tl,145.0
Pb,146.0
Bi,148.0
Po,140.0
At,150.0
Rn,150.0
Fr,260.0
Ra,221.0
Ac,215.0
Th,206.0
Pa,200.0
U,196.0
Np,190.0
Pu,187.0
Am,180.0
Cm,169.0
Bk,168.0
Cf,168.0
Es,165.0
Fm,167.0
Md,173.0
No,176.0
