,target,mean,std,epistemic,aleatoric
0,92.3,86.587,7.007598090643916,7.007598090643935,
1,18.3,15.090525000149997,7.827415089754471,7.827415089754471,
2,1.48,2.0966899999999984,1.28350333225123,1.2835033322512301,
3,1.95,2.0595941665749993,0.9261919107044043,0.9261832731453725,0.003999999999941632
4,15.2,14.433540000033314,1.439820754911769,1.4394189320105053,0.03401388605309229
5,2.305,8.565525000000006,3.0836250743848366,3.0836250743848375,
6,108.0,90.61487500000001,24.403665336571315,24.403665336571326,
7,6.5,2.803905000010001,2.2719645499422683,2.27170747690603,0.03417682787522157
8,26.0,22.594474761884996,12.586969115684596,12.586032083194365,0.153583592873743
9,1.06,2.474676666666661,1.880997205284722,1.8809931884985192,0.003887301262890357
10,73.0,85.65100000000002,5.096596805712849,5.096596805712853,
11,40.1,40.947750000000006,25.02440124033944,25.024401240339433,4.226784701432996e-07
12,1.3,2.3609433333300047,1.742708454637068,1.7427084546370681,
13,30.4,26.51650000000001,5.61679425918375,5.61679425918375,
14,89.0,84.58675,10.272447952533003,10.272447952533039,
15,13.2,12.096749999999995,3.3141979327584736,3.314001801070806,0.03605551275456216
16,1.132,4.041288333335002,4.769478581904235,4.769478581904236,
17,1.48,5.977435714285004,12.397938118504024,12.397938118504024,
18,4.75,4.097862499999995,2.0109768003411896,2.0105711798611527,0.040388392171778295
19,22.5,11.94562499999999,7.928761819122559,7.928761819122559,
20,23.0,44.65245,18.40977958850948,18.40977958850948,
21,5.7,5.125958333334991,2.3757173987680136,2.3757173987679945,2.989790905810469e-07
22,15.7,12.804809523809526,1.205271936083019,0.9810073042876755,0.7002179009733593
23,1.11,2.9417999999999966,2.664400966446296,2.6644009664463058,
24,28.0,25.838250000000016,5.667638347451186,5.667638347451187,
25,8.7,10.358058333314995,6.170847555138424,6.170847555138425,
26,2.04,2.9677375000200006,1.75377661318492,1.7537766131849202,
27,51.5,47.032999999999994,12.677370034829792,12.67737003482979,2.3945938857317767e-07
28,53.2,84.86466666665007,12.359953429423706,12.359953429423683,7.49787578273601e-07
29,1.05,1.9330408333699998,1.265055477747623,1.2650554777476233,
30,2.13,1.9346472649299975,0.14513903804018566,0.14513903804018613,
31,92.0,89.06874999999991,8.065155667282632,8.065155667282601,6.88530401143725e-07
32,2.01,3.510679999999997,1.8876820250243505,1.8876820250243502,3.037425445115493e-08
33,38.3,36.75073333335003,2.5777649267630367,2.5774157634440216,0.042426406870202195
34,1.4,2.3577333332550037,1.6663711657468578,1.666361564016809,0.0056568542491360506
35,25.7,25.451908333334995,13.861810895000563,13.860965471018114,0.15309310892368078
36,3.0,2.9484999999999943,0.051939869079960975,0.051939869079963966,
37,1.95,3.2074020833412464,2.6477927962462826,2.6477160207903627,0.020163459617771815
